date,Account,daily_pnl,win_rate,average_trade_size,trades_per_day,long_ratio,short_ratio,classification,frequency_segment,consistency_segment,next_day_pnl,target,sentiment_flag
2025-04-02,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,874.3810560000001,0.47058823529411764,389.9655882352941,34,0.4117647058823529,0.5882352941176471,Fear,Frequent,Inconsistent,444.266681,1,0
2025-04-03,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,444.266681,0.21875,502.8234375,32,0.96875,0.03125,Fear,Frequent,Inconsistent,0.0,0,0
2025-04-04,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,0.0,0.0,874.78,2,1.0,0.0,Fear,Frequent,Inconsistent,8.594753,1,0
2025-05-01,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,8.594753,0.10526315789473684,439.9673684210526,38,0.02631578947368421,0.9736842105263158,Neutral,Frequent,Inconsistent,32.72269,1,0
2025-05-02,0x47add9a56df66b524d5e2c1993a43cde53b6ed85,32.72269,0.3333333333333333,431.90000000000003,3,0.6666666666666666,0.3333333333333333,Greed,Frequent,Inconsistent,,0,1
2025-02-04,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,444.205198,0.625,37473.885625,16,0.625,0.375,Greed,Frequent,Inconsistent,0.0,0,1
2025-03-03,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,0.0,0.0,10522.962631578948,19,1.0,0.0,Fear,Frequent,Inconsistent,0.0,0,0
2025-03-04,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,0.0,0.0,16666.611,60,1.0,0.0,Extreme Fear,Frequent,Inconsistent,0.0,0,0
2025-04-03,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,0.0,0.0,5549.306774193548,155,1.0,0.0,Fear,Frequent,Inconsistent,0.0,0,0
2025-04-04,0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,0.0,0.0,8264.040980392158,51,1.0,0.0,Fear,Frequent,Inconsistent,,0,0
2024-01-04,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.840939,0.06896551724137931,4654.808275862069,29,0.8620689655172413,0.13793103448275862,Greed,Infrequent,Inconsistent,0.0,0,1
